,precision,recall,f1-score,support
Advance shipping,0.40258829529516765,0.7581942610157282,0.5259212991880075,8329.0
Late delivery,0.7826361151986546,0.5660061825368672,0.6569227149747089,19733.0
Shipping canceled,0.1574102485424977,0.31337813072693954,0.20955882352941177,1637.0
Shipping on time,0.34833795013850416,0.1570647931303669,0.21650704831593673,6405.0
accuracy,0.5263405716818081,0.5263405716818081,0.5263405716818081,0.5263405716818081
macro avg,0.42274315229370607,0.44866084185247546,0.4022274715020162,36104.0
weighted avg,0.589566295153714,0.5263405716818081,0.5282857820217722,36104.0
