,precision,recall,f1-score,support
Advance shipping,0.3965716805379485,0.8638492015848241,0.5435932305832578,8329.0
Late delivery,0.8558661175852098,0.4950083616277302,0.6272394528992487,19733.0
Shipping canceled,0.1684305336635893,0.45693341478313987,0.24613359657782166,1637.0
Shipping on time,0.4167062173706692,0.13708040593286494,0.206296992481203,6405.0
accuracy,0.514873698205185,0.514873698205185,0.514873698205185,0.514873698205185
macro avg,0.4593936372893542,0.4882178459821398,0.4058158181353828,36104.0
weighted avg,0.6408313685845322,0.514873698205185,0.5159859593404837,36104.0
